Festival_Name,Location,Attendance_Numbers,Visitor_Demographics,Economic_Impact,Music_Genre
Glastonbury Festival,Somerset, UK,200000,18-35, Music Enthusiasts,£100 million,Various
Tomorrowland,Boom, Belgium,400000,18-30, EDM Fans,€150 million,EDM
Sziget Festival,Budapest, Hungary,500000,18-40, International Attendees,€130 million,Various
Rock am Ring,Nürburg, Germany,90000,20-40, Rock Fans,€80 million,Rock
Roskilde Festival,Roskilde, Denmark,130000,18-40, Alternative Music Lovers,DKK 70 million,Alternative
Reading Festival,Reading, UK,100000,16-35, Rock and Indie Fans,£60 million,Rock/Indie
Paris Jazz Festival,Paris, France,60000,30-60, Jazz Enthusiasts,€20 million,Jazz
Benicàssim Festival,Benicàssim, Spain,40000,18-35, Pop and Indie Fans,€15 million,Pop/Indie
Exit Festival,Novi Sad, Serbia,200000,18-30, Electronic and Rock Fans,€50 million,Electronic/Rock
Primavera Sound,Barcelona, Spain,200000,20-40, Indie and Electronic Music Lovers,€70 million,Indie/Electronic
Lollapalooza Berlin,Berlin, Germany,100000,18-35, Alternative Music Fans,€40 million,Alternative
Pukkelpop,Hasselt, Belgium,200000,18-35, Diverse Music Genres,€60 million,Various
Arenal Sound,Burriana, Spain,150000,16-30, Pop and Rock Fans,€30 million,Pop/Rock
Dour Festival,Dour, Belgium,200000,18-35, Rock and Electronic Fans,€55 million,Rock/Electronic
Rock Werchter,Werchter, Belgium,150000,18-40, Rock Enthusiasts,€85 million,Rock
Sonar Festival,Barcelona, Spain,100000,20-40, Electronic Music Fans,€35 million,Electronic
Wacken Open Air,Wacken, Germany,75000,18-45, Metal Fans,€45 million,Metal
T in the Park,Strathallan Castle, UK,80000,18-35, Rock and Pop Fans,£40 million,Rock/Pop
Mysteryland,Haarlem, Netherlands,90000,18-30, EDM Fans,€25 million,EDM
Kendal Calling,Kendal, UK,40000,18-35, Indie and Alternative Music Fans,£15 million,Indie/Alternative
Latitude Festival,Suffolk, UK,45000,18-40, Diverse Music and Arts Fans,£20 million,Various
Nass Festival,Shepton Mallet, UK,30000,18-35, Music and Action Sports Fans,£12 million,Various
Green Man Festival,Brecon Beacons, UK,25000,18-40, Indie and Folk Music Fans,£10 million,Indie/Folk
Summer Breeze,Feucht, Germany,40000,20-45, Metal and Hardcore Fans,€30 million,Metal/Hardcore
Parklife Festival,Manchester, UK,80000,18-30, Electronic and Indie Music Fans,£25 million,Electronic/Indie
Electric Daisy Carnival,London, UK,60000,18-35, EDM Fans,£30 million,EDM
Splendour in the Grass,Bendigo, Australia,40000,18-35, Indie and Electronic Fans,AU$20 million,Indie/Electronic
Creamfields,Cheshire, UK,70000,18-35, EDM Fans,£35 million,EDM
Montreux Jazz Festival,Montreux, Switzerland,20000,25-60, Jazz and Blues Fans,CHF 10 million,Jazz/Blues
Nyege Nyege Festival,Jinja, Uganda,20000,18-40, Afrobeat and Electronic Fans,USD 5 million,Afrobeat/Electronic
Boogaloo Festival,Valencia, Spain,35000,18-40, Indie and Electronic Fans,€18 million,Indie/Electronic
Sundance Festival,Park City, USA,47000,25-50, Film and Music Fans,USD 25 million,Various
Mad Cool Festival,Madrid, Spain,80000,18-35, Rock and Alternative Fans,€45 million,Rock/Alternative
Heineken Open'er,Gdynia, Poland,60000,18-35, Diverse Music Genres,PLN 30 million,Various
Gurten Festival,Bern, Switzerland,30000,18-40, Pop and Rock Fans,CHF 8 million,Pop/Rock
Lovebox Festival,London, UK,45000,18-35, Electronic and Urban Music Fans,£22 million,Electronic/Urban
Ejekt Festival,Athens, Greece,30000,18-35, Rock and Electronic Fans,€12 million,Rock/Electronic
Ruisrock,Turku, Finland,35000,18-35, Pop and Rock Fans,€10 million,Pop/Rock
Melt! Festival,Großpösna, Germany,50000,18-35, Electronic and Indie Fans,€25 million,Electronic/Indie
South West Four,London, UK,30000,18-35, Electronic and Dance Fans,£15 million,Electronic/Dance
Boomtown Fair,Winchester, UK,60000,18-40, Diverse Music and Arts Fans,£40 million,Various
Coachella Valley Music and Arts Festival,Indio, USA,125000,18-40, Various Music Fans,USD 50 million,Various
Lollapalooza Paris,Paris, France,75000,18-35, Rock and Electronic Fans,€30 million,Rock/Electronic
Valencia Music Festival,Valencia, Spain,35000,18-35, Electronic and Rock Fans,€15 million,Electronic/Rock
Festival Internacional de Jazz,Mexico City, Mexico,40000,25-60, Jazz Fans,MXN 20 million,Jazz
Burning Man,Black Rock City, USA,70000,18-50, Art and Music Fans,USD 40 million,Various
Newport Music Festival,Newport, USA,20000,25-60, Classical Music Fans,USD 8 million,Classical
Festival Internacional de Benicàssim,Benicàssim, Spain,50000,18-35, Rock and Pop Fans,€22 million,Rock/Pop
Meltdown Festival,London, UK,30000,18-40, Rock and Alternative Fans,£15 million,Rock/Alternative
Leeds Festival,Leeds, UK,80000,18-35, Rock and Alternative Fans,£35 million,Rock/Alternative
Munich Music Festival,Munich, Germany,35000,18-40, Electronic and Rock Fans,€18 million,Electronic/Rock
Budapest Jazz Festival,Budapest, Hungary,20000,25-60, Jazz Fans,€12 million,Jazz
Gothenburg Film Festival,Gothenburg, Sweden,20000,18-60, Film and Music Fans,SEK 8 million,Various
Fusion Festival,Garz, Germany,25000,18-35, Electronic and Alternative Fans,€12 million,Electronic/Alternative
Electric Castle Festival,Cluj-Napoca, Romania,50000,18-35, Electronic and Rock Fans,€25 million,Electronic/Rock
The Great Escape,Brighton, UK,20000,18-35, Emerging Artists and Indie Fans,£10 million,Indie
Festival Internacional de Jazz,Montreal, Canada,30000,25-60, Jazz Fans,CAD 10 million,Jazz
Gothenburg International Music Festival,Gothenburg, Sweden,25000,18-50, Various Music Genres,SEK 12 million,Various
Isle of Wight Festival,Isle of Wight, UK,60000,18-40, Rock and Pop Fans,£30 million,Rock/Pop
Tivoli Music Festival,Florence, Italy,25000,18-50, Classical and Jazz Fans,€10 million,Classical/Jazz
Pride Festival,Amsterdam, Netherlands,60000,18-35, LGBTQ+ and Pop Fans,€30 million,Pop
Art Basel Music Festival,Miami, USA,40000,25-60, Art and Music Enthusiasts,USD 20 million,Various
Thunderbolt Festival,Oslo, Norway,35000,18-35, Rock and Indie Fans,NOK 15 million,Rock/Indie
Sea Dance Festival,Budva, Montenegro,50000,18-35, EDM and Techno Fans,€20 million,EDM/Techno
Tenerife Music Festival,San Cristóbal de La Laguna, Spain,30000,18-35, Pop and Indie Fans,€12 million,Pop/Indie
Desertfest Berlin,Berlin, Germany,40000,18-45, Stoner Rock and Metal Fans,€25 million,Stoner Rock/Metal
Maui Arts & Cultural Center Festival,Kahului, USA,25000,25-60, Various Arts and Music Fans,USD 10 million,Various
Vive Latino Festival,Mexico City, Mexico,50000,18-35, Rock and Latin Music Fans,MXN 25 million,Rock/Latin
Darker Days Festival,Brussels, Belgium,30000,18-35, Dark and Electronic Fans,€15 million,Dark/Electronic
Summer Sonic Festival,Tokyo, Japan,60000,18-35, Rock and Electronic Fans,JPY 40 million,Rock/Electronic
Festival de Música de La Rioja,Logroño, Spain,25000,25-60, Classical and Jazz Fans,€12 million,Classical/Jazz
Hove Festival,Hove, UK,35000,18-35, Indie and Rock Fans,£15 million,Indie/Rock
Celtic Connections,Glasgow, UK,40000,25-60, Folk and Celtic Music Fans,£20 million,Folk/Celtic
