,level_0,level_1,Festival_Name,Location,Attendance_Numbers,Visitor_Demographics,Economic_Impact,Music_Genre
0,Glastonbury Festival,Somerset, UK,200000,18-35, Music Enthusiasts,£100 million,Various
1,Tomorrowland,Boom, Belgium,400000,18-30, EDM Fans,€150 million,EDM
2,Sziget Festival,Budapest, Hungary,500000,18-40, International Attendees,€130 million,Various
3,Rock am Ring,Nürburg, Germany,90000,20-40, Rock Fans,€80 million,Rock
4,Roskilde Festival,Roskilde, Denmark,130000,18-40, Alternative Music Lovers,DKK 70 million,Alternative
5,Reading Festival,Reading, UK,100000,16-35, Rock and Indie Fans,£60 million,Rock/Indie
6,Paris Jazz Festival,Paris, France,60000,30-60, Jazz Enthusiasts,€20 million,Jazz
7,Benicàssim Festival,Benicàssim, Spain,40000,18-35, Pop and Indie Fans,€15 million,Pop/Indie
8,Exit Festival,Novi Sad, Serbia,200000,18-30, Electronic and Rock Fans,€50 million,Electronic/Rock
9,Primavera Sound,Barcelona, Spain,200000,20-40, Indie and Electronic Music Lovers,€70 million,Indie/Electronic
10,Lollapalooza Berlin,Berlin, Germany,100000,18-35, Alternative Music Fans,€40 million,Alternative
11,Pukkelpop,Hasselt, Belgium,200000,18-35, Diverse Music Genres,€60 million,Various
12,Arenal Sound,Burriana, Spain,150000,16-30, Pop and Rock Fans,€30 million,Pop/Rock
13,Dour Festival,Dour, Belgium,200000,18-35, Rock and Electronic Fans,€55 million,Rock/Electronic
14,Rock Werchter,Werchter, Belgium,150000,18-40, Rock Enthusiasts,€85 million,Rock
15,Sonar Festival,Barcelona, Spain,100000,20-40, Electronic Music Fans,€35 million,Electronic
16,Wacken Open Air,Wacken, Germany,75000,18-45, Metal Fans,€45 million,Metal
17,T in the Park,Strathallan Castle, UK,80000,18-35, Rock and Pop Fans,£40 million,Rock/Pop
18,Mysteryland,Haarlem, Netherlands,90000,18-30, EDM Fans,€25 million,EDM
19,Kendal Calling,Kendal, UK,40000,18-35, Indie and Alternative Music Fans,£15 million,Indie/Alternative
20,Latitude Festival,Suffolk, UK,45000,18-40, Diverse Music and Arts Fans,£20 million,Various
21,Nass Festival,Shepton Mallet, UK,30000,18-35, Music and Action Sports Fans,£12 million,Various
22,Green Man Festival,Brecon Beacons, UK,25000,18-40, Indie and Folk Music Fans,£10 million,Indie/Folk
23,Summer Breeze,Feucht, Germany,40000,20-45, Metal and Hardcore Fans,€30 million,Metal/Hardcore
24,Parklife Festival,Manchester, UK,80000,18-30, Electronic and Indie Music Fans,£25 million,Electronic/Indie
25,Electric Daisy Carnival,London, UK,60000,18-35, EDM Fans,£30 million,EDM
26,Splendour in the Grass,Bendigo, Australia,40000,18-35, Indie and Electronic Fans,AU$20 million,Indie/Electronic
27,Creamfields,Cheshire, UK,70000,18-35, EDM Fans,£35 million,EDM
28,Montreux Jazz Festival,Montreux, Switzerland,20000,25-60, Jazz and Blues Fans,CHF 10 million,Jazz/Blues
29,Nyege Nyege Festival,Jinja, Uganda,20000,18-40, Afrobeat and Electronic Fans,USD 5 million,Afrobeat/Electronic
30,Boogaloo Festival,Valencia, Spain,35000,18-40, Indie and Electronic Fans,€18 million,Indie/Electronic
31,Sundance Festival,Park City, USA,47000,25-50, Film and Music Fans,USD 25 million,Various
32,Mad Cool Festival,Madrid, Spain,80000,18-35, Rock and Alternative Fans,€45 million,Rock/Alternative
33,Heineken Open'er,Gdynia, Poland,60000,18-35, Diverse Music Genres,PLN 30 million,Various
